Leff,Vth,Tox,Vdd,Power dissipation (W),Delay (s)
3.25,0.57111,1.57,0.75591,13.7,2.92
2.67,0.5121,1.68,0.97795,26.6,1.0
2.28,0.45098,1.68,0.96682,34.8,0.886
3.09,0.52443,1.61,0.90025,24.8,1.89
2.33,0.504,1.68,0.78335,15.2,2.1
2.9,0.47517,1.57,0.84182,17.1,1.45
2.46,0.53326,1.72,0.90515,27.7,0.921
3.01,0.42552,1.59,0.85865,17.6,2.48
2.34,0.52268,1.64,0.79522,19.6,1.08
2.46,0.39269,1.68,0.9062,22.7,1.5
2.2,0.38722,1.7,0.95711,22.4,1.55
2.41,0.45989,1.73,1.0276,60.09999999999999,0.409
3.01,0.53761,1.7,0.82626,23.6,1.06
2.89,0.44796,1.57,0.84277,19.8,1.96
2.6,0.52096,1.67,1.0303,46.5,0.476
2.29,0.50504,1.68,0.97757,25.6,2.21
3.04,0.57664,1.64,0.83582,31.2,0.843
2.32,0.4966,1.55,1.0184,32.7,1.78
2.63,0.361,1.72,0.96095,39.7,0.814
3.09,0.45286,1.57,0.94033,19.0,4.55
2.52,0.5406,1.72,0.78297,12.1,1.97
3.0,0.64159,1.78,0.95254,27.9,2.6
3.2,0.54347,1.66,0.84895,20.0,1.76
2.92,0.51902,1.73,0.91064,29.0,1.14
3.22,0.49018,1.64,0.9794,32.9,1.28
2.24,0.43815,1.72,0.74537,15.9,2.37
2.83,0.45668,1.63,0.844,18.0,1.4
2.24,0.51252,1.64,0.98407,39.1,0.569
2.6,0.46033,1.53,0.95026,42.1,1.23
2.56,0.46907,1.61,0.88077,24.3,2.21
2.68,0.46603,1.59,0.77066,14.6,2.25
2.83,0.51038,1.71,1.0295,45.5,0.457
2.67,0.53148,1.8,0.76743,15.5,1.49
3.46,0.48819,1.6,0.84589,21.3,1.15
3.42,0.52189,1.61,0.77639,15.3,1.93
3.04,0.51765,1.62,0.95001,34.1,0.7050000000000001
2.64,0.54389,1.65,0.87055,23.4,1.78
2.29,0.41411,1.68,0.91569,25.9,1.48
2.55,0.53999,1.66,0.93679,25.5,1.35
3.14,0.61906,1.69,0.85131,23.0,1.49
2.96,0.55889,1.65,0.71507,13.6,2.13
2.87,0.39294,1.67,0.8714,20.1,1.2
2.43,0.54794,1.72,1.1276,55.3,0.503
2.97,0.46902,1.62,1.0051,47.2,1.33
2.19,0.44239,1.7,0.90893,27.3,2.19
2.89,0.48624,1.76,0.86706,22.5,1.79
2.89,0.48491,1.72,0.85952,26.2,1.19
2.93,0.43873,1.7,1.0071,34.40000000000001,1.23
3.47,0.45673,1.79,0.95086,26.1,1.91
2.41,0.47602,1.63,0.89177,30.1,1.1
2.54,0.42946,1.69,0.90982,23.2,1.78
2.9,0.49791,1.57,0.82041,18.9,1.64
3.19,0.4221,1.53,0.9297,19.8,1.53
2.79,0.54845,1.65,0.91668,20.0,1.4
3.18,0.41725,1.56,0.74519,16.2,1.62
3.05,0.56342,1.63,0.85571,23.2,1.12
3.09,0.49865,1.57,0.98172,44.7,0.629
2.41,0.48966,1.52,0.96284,34.40000000000001,1.66
2.57,0.52956,1.72,0.8838,30.9,1.38
3.04,0.49506,1.62,0.91185,32.2,1.34
2.81,0.45325,1.6,0.91435,27.1,1.71
2.7,0.51499,1.62,0.83742,19.6,1.86
3.46,0.52961,1.64,0.95981,39.40000000000001,0.683
1.79,0.4551,1.68,0.87333,32.1,1.51
3.24,0.56505,1.55,0.86756,17.0,2.84
1.93,0.42419,1.75,0.978,28.2,0.97
2.72,0.49466,1.52,0.89071,28.7,1.17
2.95,0.55133,1.69,0.91739,30.5,1.32
2.41,0.45809,1.64,0.91199,34.2,1.19
3.07,0.71075,1.55,0.94564,27.3,2.04
2.37,0.53119,1.61,1.0724,58.3,0.478
3.46,0.53596,1.6,1.0029,38.09999999999999,1.92
